title,rank,top_250_rank,year,kind,imdb_id,rating,genre,director
The Great Train Robbery,52,,1903,movie,439,7.5,"Short, Western",Edwin S. Porter
Goldfinger,53,,1964,movie,58150,7.9,"Action, Adventure, Thriller",Guy Hamilton
La dolce vita,54,,1960,movie,53779,8.1,"Comedy, Drama",Federico Fellini
Alien,55,46,1979,movie,78748,8.5,"Adventure, Horror, Sci-Fi, Thriller",Ridley Scott
"Nosferatu, eine Symphonie des Grauens",56,,1922,movie,13442,8.1,"Fantasy, Horror",F.W. Murnau
The Shining,57,49,1980,movie,81505,8.5,"Horror, Mystery",Stanley Kubrick
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,58,33,1964,movie,57012,8.6,"Comedy, Drama",Stanley Kubrick
Scarface,59,157,1983,movie,86250,8.2,"Crime, Drama, Thriller",Brian De Palma
Rocky,60,215,1976,movie,75148,8.1,"Drama, Romance, Sport",John G. Avildsen
The Simpsons,61,,1989,tv series,96697,9,"Animation, Comedy",Mark Kirkland
Un chien andalou,62,,1929,movie,20530,8,"Short, Fantasy",Luis Buñuel
Dracula,63,,1931,movie,21814,7.7,"Fantasy, Horror",Tod Browning
First Blood,64,,1982,movie,83944,7.5,"Action, Adventure, Drama, Thriller",Ted Kotcheff
The Flintstones,65,,1960,tv series,53502,8,"Animation, Family, Comedy",Joseph Barbera
Batman,66,,1966,tv series,59968,7.7,"Action, Adventure, Comedy, Crime, Family, Fantasy, Mystery, Sci-Fi",Oscar Rudolph
The Lost Patrol,67,,1934,movie,25423,7,"Adventure, War",John Ford
I Am a Fugitive from a Chain Gang,68,,1932,movie,23042,8.1,"Crime, Drama, Film-Noir",Mervyn LeRoy
Back to the Future,69,72,1985,movie,88763,8.4,"Adventure, Family, Sci-Fi",Robert Zemeckis
Deliverance,70,,1972,movie,68473,7.9,"Adventure, Drama, Thriller",John Boorman
Rebecca,71,107,1940,movie,32976,8.4,"Mystery, Romance, Thriller",Alfred Hitchcock
The Scarecrow,72,,1920,movie,11656,8,"Comedy, Short, Family",Edward F. Cline
The Texas Chain Saw Massacre,73,,1974,movie,72271,7.5,"Horror, Mystery, Thriller",Tobe Hooper
The Bridge on the River Kwai,74,79,1957,movie,50212,8.4,"Adventure, Drama, War",David Lean
It's a Wonderful Life,75,29,1946,movie,38650,8.7,"Drama, Fantasy, Romance",Frank Capra
"Sex, Lies, and Videotape",76,,1989,movie,98724,7.1,Drama,Steven Soderbergh
Dirty Harry,77,,1971,movie,66999,7.9,"Action, Crime, Thriller",Don Siegel
My Fair Lady,78,,1964,movie,58385,7.9,"Drama, Family, Musical, Romance",George Cukor
Dumbo,79,,1941,movie,33563,7.5,"Animation, Family, Musical",Samuel Armstrong
The Birds,80,,1963,movie,56869,7.9,"Horror, Romance, Thriller",Alfred Hitchcock
College,81,,1927,movie,17765,7.2,"Comedy, Drama, Sport",James W. Horne
Titanic,82,,1997,movie,120338,7.4,"Drama, History, Romance",James Cameron
Ben-Hur,83,156,1959,movie,52618,8.2,"Action, Adventure, Drama, History, Romance",William Wyler
Pulp Fiction,84,5,1994,movie,110912,9,"Crime, Drama",Quentin Tarantino
Rear Window,85,20,1954,movie,47396,8.7,"Crime, Mystery, Romance, Thriller",Alfred Hitchcock
Aliens,86,60,1986,movie,90605,8.5,"Action, Sci-Fi, Thriller",James Cameron
Algiers,87,,1938,movie,29855,7,"Drama, Mystery, Romance",John Cromwell
Greed,88,,1924,movie,15881,8.1,Drama,Erich von Stroheim
The Silence of the Lambs,89,27,1991,movie,102926,8.7,"Crime, Thriller",Jonathan Demme
The Circus,90,,1928,movie,18773,7.9,"Comedy, Family, Drama, Romance",Charles Chaplin
The X Files,91,,1993,tv series,106179,9,"Drama, Mystery, Sci-Fi, Thriller",Kim Manners
Terminator 2: Judgment Day,92,42,1991,movie,103064,8.5,"Action, Sci-Fi, Thriller",James Cameron
The Oprah Winfrey Show,93,,1986,tv series,90493,6,Talk-Show,Joseph C. Terry
The Graduate,94,159,1967,movie,61722,8.2,"Comedy, Drama, Romance",Mike Nichols
The Bangville Police,95,,1913,movie,2659,5.5,"Comedy, Short",Henry Lehrman
The Matrix,96,26,1999,movie,133093,8.7,"Action, Adventure, Sci-Fi",Andy Wachowski
Señora Tentacion,97,,1995,tv series,214369,6.7,,Enrique Gómez Vadillo
The Brady Bunch,98,,1969,tv series,63878,7,"Comedy, Family",Oscar Rudolph
Lawrence of Arabia,99,48,1962,movie,56172,8.5,"Adventure, Biography, Drama, History, War",David Lean
A Nightmare on Elm Street,100,,1984,movie,87800,7.4,"Horror, Mystery",Wes Craven
Pygmalion,101,,1963,episode,222304,7.8,"Comedy, Drama",George Schaefer
North by Northwest,102,38,1959,movie,53125,8.6,"Adventure, Drama, Mystery, Romance, Thriller",Alfred Hitchcock
The Sound of Music,103,,1965,movie,59742,7.9,"Biography, Drama, Family, Musical",Robert Wise
Gilligan's Island,104,,1964,tv series,57751,7.8,"Comedy, Family",Jack Arnold
Bambi,105,,1942,movie,34492,7.6,"Animation, Drama, Family",James Algar
West Side Story,106,,1961,movie,55614,7.8,"Crime, Drama, Musical, Romance",Jerome Robbins
From Here to Eternity,107,,1953,movie,45793,7.9,"Drama, Romance, War",Fred Zinnemann
Halloween,108,,1978,movie,77651,7.9,"Horror, Thriller",John Carpenter
I Love Lucy,109,,1951,tv series,43208,9,"Comedy, Family",William Asher
Mad Love,110,,1935,movie,26663,7.4,"Romance, Horror",Karl Freund
Blade Runner,111,116,1982,movie,83658,8.3,"Drama, Sci-Fi, Thriller",Ridley Scott
Mary Poppins,112,,1964,movie,58331,7.7,"Comedy, Family, Fantasy, Musical",Robert Stevenson
Star Wars: Episode VI - Return of the Jedi,113,106,1983,movie,86190,8.3,"Action, Adventure, Fantasy, Sci-Fi",Richard Marquand
Close Encounters of the Third Kind,114,,1977,movie,75860,7.8,"Drama, Sci-Fi",Steven Spielberg
Shichinin no samurai,115,13,1954,movie,47478,8.8,"Adventure, Drama",Akira Kurosawa
Bride of Frankenstein,116,,1935,movie,26138,8,"Horror, Sci-Fi",James Whale
